term,ppt_m12_mm,ppt_m11_mm,ppt_m10_mm,tmean_m06_c,tmean_ann_c,ppt_m05_mm,ppt_m04_mm,tmean_m01_c,dec_long_va,slope_deg,dec_lat_va
ppt_m12_mm,NA,0.9829437554262521,0.9600532445765848,0.7393607403490776,0.6659041662092252,0.8138721252923488,0.7868484454220057,0.4975128355331777,0.7471260665681559,0.02136793639903735,-0.6368919346304623
ppt_m11_mm,0.9829437554262521,NA,0.9612693802630876,0.699738874179915,0.630500926548539,0.8370704454910968,0.8251274433693548,0.46230270168282717,0.7659741337069078,0.021011873711695772,-0.5998486048123285
ppt_m10_mm,0.9600532445765848,0.9612693802630876,NA,0.6971238763432603,0.6064085747930017,0.8435433887172966,0.8160060372543753,0.41603907123751876,0.7795004469482195,-0.0024491996288445493,-0.5726661815121222
tmean_m06_c,0.7393607403490776,0.699738874179915,0.6971238763432603,NA,0.9643047301842818,0.4932645176740193,0.419528045140028,0.8352516436923902,0.33556209230810247,0.0122487987552525,-0.9415555362549287
tmean_ann_c,0.6659041662092252,0.630500926548539,0.6064085747930017,0.9643047301842818,NA,0.41089070751434,0.3595319829037556,0.9395881654641872,0.1836113210998383,0.03947881651138683,-0.9781493547137167
ppt_m05_mm,0.8138721252923488,0.8370704454910968,0.8435433887172966,0.4932645176740193,0.41089070751434,NA,0.9242699327458664,0.20206030675499653,0.8268406606971893,-0.0034278478716830165,-0.35515072187223873
ppt_m04_mm,0.7868484454220057,0.8251274433693548,0.8160060372543753,0.419528045140028,0.3595319829037556,0.9242699327458664,NA,0.17198813679344913,0.8424000938180035,-0.018761246019453906,-0.3208742317471209
tmean_m01_c,0.4975128355331777,0.46230270168282717,0.41603907123751876,0.8352516436923902,0.9395881654641872,0.20206030675499653,0.17198813679344913,NA,-0.08301727484649386,0.07470824801230876,-0.9328601683385915
dec_long_va,0.7471260665681559,0.7659741337069078,0.7795004469482195,0.33556209230810247,0.1836113210998383,0.8268406606971893,0.8424000938180035,-0.08301727484649386,NA,-0.0502177258691142,-0.1721341830884103
slope_deg,0.02136793639903735,0.021011873711695772,-0.0024491996288445493,0.0122487987552525,0.03947881651138683,-0.0034278478716830165,-0.018761246019453906,0.07470824801230876,-0.0502177258691142,NA,-0.04912986418687322
dec_lat_va,-0.6368919346304623,-0.5998486048123285,-0.5726661815121222,-0.9415555362549287,-0.9781493547137167,-0.35515072187223873,-0.3208742317471209,-0.9328601683385915,-0.1721341830884103,-0.04912986418687322,NA
