metric,penalty,mixture,.metric,.estimator,mean,n,std_err,.config
rmse,1e-10,0,rmse,standard,0.6157761879937403,10,0.010925313558392626,Preprocessor1_Model01
rmse,3.162277660168379e-8,0,rmse,standard,0.6157761879937403,10,0.010925313558392626,Preprocessor1_Model02
rmse,1e-5,0,rmse,standard,0.6157761879937403,10,0.010925313558392626,Preprocessor1_Model03
rmse,0.0031622776601683794,0,rmse,standard,0.6157761879937403,10,0.010925313558392626,Preprocessor1_Model04
rmse,0.0031622776601683794,0.25,rmse,standard,0.6159439958034152,10,0.01095963564580271,Preprocessor1_Model09
rsq,1e-10,0.25,rsq,standard,0.05234045589246706,10,0.010283538160157606,Preprocessor1_Model06
rsq,3.162277660168379e-8,0.25,rsq,standard,0.05234045589246706,10,0.010283538160157606,Preprocessor1_Model07
rsq,1e-5,0.25,rsq,standard,0.05234045589246706,10,0.010283538160157606,Preprocessor1_Model08
rsq,1e-10,0.5,rsq,standard,0.05233870474451305,10,0.01027450145544517,Preprocessor1_Model11
rsq,3.162277660168379e-8,0.5,rsq,standard,0.05233870474451305,10,0.01027450145544517,Preprocessor1_Model12
