term,edf,ref.df,statistic,p.value
s(ppt_m01_mm),1.0000000089921561,1.0000000166186287,0.8623898276178311,0.35327797368923
s(ppt_m02_mm),1.000000012222281,1.0000000223376198,0.7069657838544967,0.4006387905995566
s(ppt_m03_mm),2.506362156138054,3.354871642514259,0.968477598133852,0.41124381632075313
s(ppt_m04_mm),7.510177779125785,8.432557583079792,3.336257169041214,6.116656933857767e-4
s(ppt_m05_mm),5.00594939596315,6.26895235740923,2.101388558986171,0.05068967560172655
s(ppt_m06_mm),3.289677747031474,4.252837217653918,1.0420281508067004,0.3617894249074388
s(ppt_m07_mm),2.2017308232694317,2.85204355693706,1.5771320046612372,0.23607964780118373
s(ppt_m08_mm),1.0000000282308832,1.0000000511849503,2.0884849300062474,0.1487028958640631
s(ppt_m09_mm),1.00000001221281,1.000000023623186,0.005926257486162531,0.9386527098192148
s(ppt_m10_mm),1.0000000129601465,1.0000000246948602,3.637172535395316,0.05676753057359196
s(ppt_m11_mm),5.429868457356473,6.771657235517394,2.709347590325587,0.009107430359611701
s(ppt_m12_mm),7.572145027624315,8.427963820959969,2.48797142004155,0.009428915932517656
